id,cart_id,menu_item_id,quantity
1,1,2321,3
2,1,1572,1
3,1,2357,2
4,1,1504,3
5,2,1947,3
6,2,1908,2
7,2,2310,3
8,2,2336,1
9,3,1958,3
10,3,1413,1
11,3,2155,3
12,3,1862,1
13,3,2312,2
14,4,1540,3
15,4,1957,1
16,4,2320,2
17,4,1969,1
18,5,1546,3
19,6,1816,3
20,6,1794,1
21,6,1866,1
22,7,1647,1
23,7,2371,3
24,7,1951,2
25,7,1627,2
26,8,1494,3
27,8,2293,1
28,8,2145,1
29,8,1501,2
30,9,2271,3
31,9,2042,2
32,9,2379,2
33,10,1615,2
34,11,1895,1
35,11,1544,1
36,11,1404,2
37,11,1779,2
38,11,1677,2
39,12,1697,3
40,13,1712,1
41,14,2258,3
42,14,1574,1
43,14,1880,1
44,14,1621,3
45,15,1490,3
46,15,2101,3
47,15,2126,2
48,15,1857,2
49,15,2318,3
50,16,1639,1
51,16,1398,3
52,16,1714,3
53,16,2379,2
54,17,1546,3
55,17,2236,1
56,17,1920,1
57,17,1803,3
58,17,1435,3
59,18,2275,2
60,18,1744,1
61,18,1787,1
62,18,1658,2
63,18,1619,2
64,19,1786,1
65,19,1420,2
66,19,2296,1
67,20,2330,2
68,20,2133,2
69,20,2084,3
70,21,1509,2
71,22,1601,1
72,22,1406,1
73,22,1408,2
74,22,1715,3
75,23,2133,2
76,24,2037,2
77,24,1969,2
78,24,1819,1
79,24,2361,1
80,25,1528,1
81,25,1977,3
82,25,1945,2
83,25,1998,2
84,25,2165,2
85,26,2164,1
86,27,1425,2
87,27,1749,2
88,27,1396,1
89,28,2085,2
90,28,1739,1
91,28,1427,3
92,28,1948,3
93,28,1526,3
94,29,1882,2
95,29,1933,1
96,29,1780,1
97,29,2356,3
98,29,1852,1
99,30,1614,1
100,30,2261,2
101,30,1794,2
102,31,2056,3
103,31,2126,1
104,31,2382,2
105,31,1765,2
106,31,1729,1
107,32,1822,3
108,32,2232,3
109,32,2157,3
110,32,1596,1
111,32,2057,2
112,33,1813,3
113,33,2056,1
114,33,1717,1
115,34,1395,1
116,35,1427,1
117,35,2292,1
118,35,1801,1
119,35,2264,3
120,36,1715,2
121,37,1897,1
122,37,2287,3
123,38,2167,1
124,38,1995,2
125,38,2036,2
126,39,2345,3
127,39,1564,1
128,39,1662,2
129,39,1517,1
130,39,1618,3
131,40,2204,2
132,41,1535,3
133,41,2133,1
134,41,2237,2
135,41,2046,2
136,41,2024,1
137,42,2233,1
138,42,1503,1
139,43,1648,1
140,43,1815,3
141,44,2382,3
142,44,2023,2
143,44,1577,2
144,45,2376,2
145,45,2236,1
146,46,1573,3
147,46,2286,2
148,47,2356,1
149,47,1550,1
150,47,1635,1
151,47,1719,1
152,47,1609,2
153,48,1997,3
154,48,1880,3
155,48,1516,2
156,48,1436,2
157,48,2185,3
158,49,1875,1
159,50,1548,2
160,51,2338,1
161,52,1550,2
162,53,1421,2
163,53,1514,3
164,53,1847,3
165,53,1798,2
166,53,1469,1
167,54,1808,2
168,54,2293,1
169,54,1592,2
170,54,2130,2
171,54,2209,1
172,55,1709,3
173,55,1428,3
174,55,1558,2
175,55,1720,3
176,55,1942,1
177,56,1839,2
178,56,2065,1
179,57,2125,1
180,57,1790,2
181,57,1558,3
182,57,2179,1
183,58,2097,1
184,58,1689,1
185,58,2272,3
186,58,1949,2
187,59,2027,1
188,59,2315,1
189,59,2100,2
190,59,1595,3
191,60,1839,3
192,60,1431,1
193,60,1820,1
194,61,2093,3
195,61,2290,1
196,61,1888,3
197,61,2206,3
198,61,2277,2
199,62,1727,3
200,62,1526,2
201,62,1587,3
202,62,1430,3
