id,menu_item_id,name,description
4322,1388,Salt,Ingredient for Naan Garlic Bread
4323,1388,Pepper,Ingredient for Naan Garlic Bread
4324,1388,Oil,Ingredient for Naan Garlic Bread
4325,1389,Salt,Ingredient for Paneer Tikka Masala
4326,1389,Pepper,Ingredient for Paneer Tikka Masala
4327,1389,Oil,Ingredient for Paneer Tikka Masala
4328,1390,Salt,Ingredient for Chana Masala
4329,1390,Pepper,Ingredient for Chana Masala
4330,1390,Oil,Ingredient for Chana Masala
4331,1391,Salt,Ingredient for Aloo Paratha
4332,1391,Pepper,Ingredient for Aloo Paratha
4333,1391,Oil,Ingredient for Aloo Paratha
4334,1392,Salt,Ingredient for Dal Makhani
4335,1392,Pepper,Ingredient for Dal Makhani
4336,1392,Oil,Ingredient for Dal Makhani
4337,1393,Salt,Ingredient for Butter Chicken
4338,1393,Pepper,Ingredient for Butter Chicken
4339,1393,Oil,Ingredient for Butter Chicken
4340,1394,Salt,Ingredient for Mutton Karahi
4341,1394,Pepper,Ingredient for Mutton Karahi
4342,1394,Oil,Ingredient for Mutton Karahi
4343,1395,Salt,Ingredient for Fish Masala Curry
4344,1395,Pepper,Ingredient for Fish Masala Curry
4345,1395,Oil,Ingredient for Fish Masala Curry
4346,1396,Salt,Ingredient for Chicken Tandoori
4347,1396,Pepper,Ingredient for Chicken Tandoori
4348,1396,Oil,Ingredient for Chicken Tandoori
4349,1397,Salt,Ingredient for Chicken Biryani
4350,1397,Pepper,Ingredient for Chicken Biryani
4351,1397,Oil,Ingredient for Chicken Biryani
4352,1398,Salt,Ingredient for Butter Chicken
4353,1398,Pepper,Ingredient for Butter Chicken
4354,1398,Oil,Ingredient for Butter Chicken
4355,1399,Salt,Ingredient for Fish Masala Curry
4356,1399,Pepper,Ingredient for Fish Masala Curry
4357,1399,Oil,Ingredient for Fish Masala Curry
4358,1400,Salt,Ingredient for Naan Garlic Bread
4359,1400,Pepper,Ingredient for Naan Garlic Bread
4360,1400,Oil,Ingredient for Naan Garlic Bread
4361,1401,Salt,Ingredient for Chana Masala
4362,1401,Pepper,Ingredient for Chana Masala
4363,1401,Oil,Ingredient for Chana Masala
4364,1402,Salt,Ingredient for Dal Makhani
4365,1402,Pepper,Ingredient for Dal Makhani
4366,1402,Oil,Ingredient for Dal Makhani
4367,1403,Salt,Ingredient for Chicken Tandoori
4368,1403,Pepper,Ingredient for Chicken Tandoori
4369,1403,Oil,Ingredient for Chicken Tandoori
4370,1404,Salt,Ingredient for Mutton Karahi
4371,1404,Pepper,Ingredient for Mutton Karahi
4372,1404,Oil,Ingredient for Mutton Karahi
4373,1405,Salt,Ingredient for Chicken Biryani
4374,1405,Pepper,Ingredient for Chicken Biryani
4375,1405,Oil,Ingredient for Chicken Biryani
4376,1406,Salt,Ingredient for Paneer Tikka Masala
4377,1406,Pepper,Ingredient for Paneer Tikka Masala
4378,1406,Oil,Ingredient for Paneer Tikka Masala
4379,1407,Salt,Ingredient for Aloo Paratha
4380,1407,Pepper,Ingredient for Aloo Paratha
4381,1407,Oil,Ingredient for Aloo Paratha
4382,1408,Salt,Ingredient for Aloo Paratha
4383,1408,Pepper,Ingredient for Aloo Paratha
4384,1408,Oil,Ingredient for Aloo Paratha
4385,1409,Salt,Ingredient for Chicken Tandoori
4386,1409,Pepper,Ingredient for Chicken Tandoori
4387,1409,Oil,Ingredient for Chicken Tandoori
4388,1410,Salt,Ingredient for Chicken Biryani
4389,1410,Pepper,Ingredient for Chicken Biryani
4390,1410,Oil,Ingredient for Chicken Biryani
4391,1411,Salt,Ingredient for Butter Chicken
4392,1411,Pepper,Ingredient for Butter Chicken
4393,1411,Oil,Ingredient for Butter Chicken
4394,1412,Salt,Ingredient for Paneer Tikka Masala
4395,1412,Pepper,Ingredient for Paneer Tikka Masala
4396,1412,Oil,Ingredient for Paneer Tikka Masala
4397,1413,Salt,Ingredient for Dal Makhani
4398,1413,Pepper,Ingredient for Dal Makhani
4399,1413,Oil,Ingredient for Dal Makhani
4400,1414,Salt,Ingredient for Fish Masala Curry
4401,1414,Pepper,Ingredient for Fish Masala Curry
4402,1414,Oil,Ingredient for Fish Masala Curry
4403,1415,Salt,Ingredient for Naan Garlic Bread
4404,1415,Pepper,Ingredient for Naan Garlic Bread
4405,1415,Oil,Ingredient for Naan Garlic Bread
4406,1416,Salt,Ingredient for Mutton Karahi
4407,1416,Pepper,Ingredient for Mutton Karahi
4408,1416,Oil,Ingredient for Mutton Karahi
4409,1417,Salt,Ingredient for Chana Masala
4410,1417,Pepper,Ingredient for Chana Masala
4411,1417,Oil,Ingredient for Chana Masala
4412,1418,Salt,Ingredient for Butter Chicken
4413,1418,Pepper,Ingredient for Butter Chicken
4414,1418,Oil,Ingredient for Butter Chicken
4415,1419,Salt,Ingredient for Chicken Biryani
4416,1419,Pepper,Ingredient for Chicken Biryani
4417,1419,Oil,Ingredient for Chicken Biryani
4418,1420,Salt,Ingredient for Fish Masala Curry
4419,1420,Pepper,Ingredient for Fish Masala Curry
4420,1420,Oil,Ingredient for Fish Masala Curry
4421,1421,Salt,Ingredient for Chana Masala
4422,1421,Pepper,Ingredient for Chana Masala
4423,1421,Oil,Ingredient for Chana Masala
4424,1422,Salt,Ingredient for Dal Makhani
4425,1422,Pepper,Ingredient for Dal Makhani
4426,1422,Oil,Ingredient for Dal Makhani
4427,1423,Salt,Ingredient for Aloo Paratha
4428,1423,Pepper,Ingredient for Aloo Paratha
4429,1423,Oil,Ingredient for Aloo Paratha
4430,1424,Salt,Ingredient for Mutton Karahi
4431,1424,Pepper,Ingredient for Mutton Karahi
4432,1424,Oil,Ingredient for Mutton Karahi
4433,1425,Salt,Ingredient for Paneer Tikka Masala
4434,1425,Pepper,Ingredient for Paneer Tikka Masala
4435,1425,Oil,Ingredient for Paneer Tikka Masala
4436,1426,Salt,Ingredient for Chicken Tandoori
