id,user_id,total_price,created_at
1,2,0.00,2025-12-03 21:22:28.805152+00:00
2,2,0.00,2025-12-03 23:06:41.215970+00:00
3,2,0.00,2025-12-03 23:10:28.942557+00:00
4,2,0.00,2025-12-03 23:12:27.737357+00:00
5,11,131.90,2025-12-08 04:14:33.100958+00:00
6,31,95.62,2025-12-08 04:14:33.124881+00:00
7,49,42.82,2025-12-08 04:14:33.144224+00:00
8,74,58.90,2025-12-08 04:14:33.159247+00:00
9,57,95.08,2025-12-08 04:14:33.170748+00:00
10,73,82.62,2025-12-08 04:14:33.182901+00:00
11,85,130.40,2025-12-08 04:14:33.232654+00:00
12,66,38.76,2025-12-08 04:14:33.243896+00:00
13,45,140.33,2025-12-08 04:14:33.254553+00:00
14,98,198.46,2025-12-08 04:14:33.271743+00:00
15,22,11.24,2025-12-08 04:14:33.291288+00:00
16,9,146.48,2025-12-08 04:14:33.300262+00:00
17,26,40.22,2025-12-08 04:14:33.318922+00:00
18,96,186.59,2025-12-08 04:14:33.334717+00:00
19,46,139.83,2025-12-08 04:14:33.354297+00:00
20,63,43.73,2025-12-08 04:14:33.376848+00:00
21,98,198.46,2025-12-08 04:14:33.404226+00:00
22,76,124.17,2025-12-08 04:14:33.438077+00:00
23,39,199.49,2025-12-08 04:14:33.450690+00:00
24,15,154.98,2025-12-08 04:14:33.502162+00:00
25,73,46.92,2025-12-08 04:14:33.542645+00:00
26,81,193.21,2025-12-08 04:14:33.557134+00:00
27,37,40.09,2025-12-08 04:14:33.601431+00:00
28,14,118.60,2025-12-08 04:14:33.620665+00:00
29,101,189.35,2025-12-08 04:14:33.676914+00:00
30,84,188.41,2025-12-08 04:14:33.724406+00:00
31,35,207.67,2025-12-08 04:14:33.749474+00:00
32,57,131.53,2025-12-08 04:14:33.794984+00:00
33,89,45.94,2025-12-08 04:14:33.837695+00:00
34,91,54.32,2025-12-08 04:14:33.875690+00:00
35,54,130.85,2025-12-08 04:14:33.921009+00:00
36,75,117.45,2025-12-08 04:14:33.980588+00:00
37,20,49.16,2025-12-08 04:14:34.017842+00:00
38,39,199.49,2025-12-08 04:14:34.047312+00:00
39,65,136.31,2025-12-08 04:14:34.112067+00:00
40,32,183.53,2025-12-08 04:14:34.156613+00:00
41,17,32.64,2025-12-08 04:14:34.200156+00:00
42,23,107.53,2025-12-08 04:14:34.223039+00:00
43,59,137.38,2025-12-08 04:14:34.263827+00:00
44,90,166.85,2025-12-08 04:14:34.280697+00:00
45,104,221.58,2025-12-08 04:14:34.298597+00:00
46,84,108.40,2025-12-08 04:14:34.311727+00:00
47,63,50.01,2025-12-08 04:14:34.333921+00:00
48,33,15.03,2025-12-08 04:14:34.345628+00:00
49,52,44.21,2025-12-08 04:14:34.387733+00:00
50,26,40.22,2025-12-08 04:14:34.417656+00:00
51,24,125.12,2025-12-08 04:14:34.452230+00:00
52,29,150.03,2025-12-08 04:14:34.486497+00:00
53,53,24.99,2025-12-08 04:14:34.526051+00:00
54,42,20.67,2025-12-08 04:14:34.543505+00:00
55,40,134.09,2025-12-08 04:14:34.560517+00:00
56,56,26.12,2025-12-08 04:14:34.585159+00:00
57,48,109.41,2025-12-08 04:14:34.609148+00:00
58,79,52.50,2025-12-08 04:14:34.631653+00:00
59,64,145.42,2025-12-08 04:14:34.657046+00:00
60,62,161.10,2025-12-08 04:14:34.683317+00:00
61,78,93.24,2025-12-08 04:14:34.730169+00:00
62,64,26.25,2025-12-08 04:14:34.762065+00:00
63,62,161.10,2025-12-08 04:14:34.780078+00:00
64,99,158.04,2025-12-08 04:14:34.817584+00:00
65,20,30.50,2025-12-08 04:14:34.852069+00:00
66,101,112.13,2025-12-08 04:14:34.858880+00:00
67,13,139.99,2025-12-08 04:14:34.868913+00:00
68,65,136.31,2025-12-08 04:14:34.884308+00:00
69,98,205.56,2025-12-08 04:14:34.903312+00:00
70,54,130.85,2025-12-08 04:14:34.915360+00:00
71,40,117.73,2025-12-08 04:14:34.938654+00:00
72,104,43.40,2025-12-08 04:14:34.952914+00:00
73,52,41.44,2025-12-08 04:14:34.960156+00:00
74,10,99.05,2025-12-08 04:14:34.968304+00:00
75,107,149.14,2025-12-08 04:14:34.979035+00:00
76,14,83.37,2025-12-08 04:14:35.002083+00:00
77,92,189.16,2025-12-08 04:14:35.009397+00:00
78,18,140.52,2025-12-08 04:14:35.020424+00:00
79,13,139.99,2025-12-08 04:14:35.042959+00:00
80,65,136.31,2025-12-08 04:14:35.062826+00:00
81,54,130.85,2025-12-08 04:14:35.084545+00:00
82,32,183.53,2025-12-08 04:14:35.105187+00:00
83,55,322.48,2025-12-08 04:14:35.125972+00:00
84,71,78.78,2025-12-08 04:14:35.145642+00:00
85,39,50.48,2025-12-08 04:14:35.154892+00:00
86,91,54.32,2025-12-08 04:14:35.177544+00:00
87,78,93.24,2025-12-08 04:14:35.202118+00:00
88,19,35.82,2025-12-08 04:14:35.224677+00:00
89,24,184.58,2025-12-08 04:14:35.232533+00:00
90,8,137.95,2025-12-08 04:14:35.253784+00:00
91,44,106.33,2025-12-08 04:14:35.271667+00:00
