id,order_id,menu_item_id,price,quantity
5,5,1540,24.7,3
6,5,1957,5.67,1
7,5,1969,13.33,1
8,5,2320,19.4,2
9,6,1819,28.57,1
10,6,1969,13.33,2
11,6,2037,9.24,2
12,6,2361,21.91,1
13,7,1503,19.21,1
14,7,2233,23.61,1
15,8,2000,29.45,2
16,9,1847,7.92,3
17,9,1710,13.65,2
18,9,2145,8.8,1
19,9,2019,11.74,3
20,10,1589,24.56,1
21,10,1624,8.82,3
22,10,1681,11.8,1
23,10,2122,6.6,3
24,11,2176,20.85,2
25,11,1388,19.57,3
26,11,2278,5.57,2
27,11,1402,18.85,1
28,12,1909,11.57,1
29,12,2288,27.19,1
30,13,1995,29.96,2
31,13,2036,28.82,2
32,13,2167,22.77,1
33,14,1456,7.23,3
34,14,1742,25.54,3
35,14,1790,25.18,3
36,14,1915,13.49,1
37,14,2126,11.12,1
38,15,1892,11.24,1
39,16,1908,24.92,2
40,16,1947,14.65,3
41,16,2310,13.53,3
42,16,2336,12.1,1
43,17,1420,8.29,2
44,17,1786,7.07,1
45,17,2296,16.57,1
46,18,1762,15.71,2
47,18,1859,7.47,2
48,18,1890,26.7,3
49,18,1991,17.53,3
50,18,2196,7.54,1
51,19,1517,21.04,1
52,19,1564,12.41,1
53,19,1618,6.45,3
54,19,1662,9.39,2
55,19,2345,22.75,3
56,20,1839,9.55,2
57,20,2065,24.63,1
58,21,1456,7.23,3
59,21,1742,25.54,3
60,21,1790,25.18,3
61,21,1915,13.49,1
62,21,2126,11.12,1
63,22,1760,19.15,2
64,22,1753,26.03,1
65,22,1546,18.34,1
66,22,1545,15.18,2
67,22,2278,5.57,2
68,23,1596,18.88,1
69,23,1822,22.54,3
70,23,2057,6.17,2
71,23,2157,17.63,3
72,23,2232,15.92,3
73,24,1494,27.57,3
74,24,1501,27.34,2
75,24,2145,8.8,1
76,24,2293,8.79,1
77,25,2280,15.64,3
78,26,1452,19.08,1
79,26,1619,27.44,2
80,26,1826,17.75,3
81,26,2156,6.12,1
82,26,2182,29.94,2
83,27,2116,15.01,2
84,27,1605,10.07,1
85,28,1627,10.72,2
86,28,1647,13.95,1
87,28,1951,28.0,2
88,28,2371,9.07,3
89,29,1801,7.24,3
90,29,1991,17.53,3
91,29,2002,13.76,2
92,29,2070,7.22,2
93,29,2098,24.36,3
94,30,1491,15.92,3
95,30,1989,15.25,3
96,30,1932,9.09,1
97,30,1591,28.76,2
98,30,1872,28.29,1
99,31,1427,21.81,3
100,31,1526,18.33,3
101,31,1739,13.93,1
102,31,1948,8.58,3
103,31,2085,23.79,2
104,32,1472,25.69,2
105,32,1831,25.09,1
106,32,1717,18.14,2
107,32,2268,9.39,2
108,33,1457,22.97,2
109,34,1568,27.16,2
110,35,1550,5.87,1
111,35,1609,25.56,2
112,35,1635,26.69,1
113,35,1719,19.5,1
114,35,2356,27.67,1
115,36,1390,10.81,1
116,36,1504,18.3,3
117,36,1641,23.3,1
118,36,1766,14.22,2
119,37,1460,10.42,3
120,37,2308,8.95,2
121,38,1596,18.88,1
122,38,1822,22.54,3
123,38,2057,6.17,2
124,38,2157,17.63,3
125,38,2232,15.92,3
126,39,1689,16.94,1
127,39,1949,10.68,2
128,39,2097,13.2,1
129,39,2272,28.27,3
130,40,1528,25.34,1
131,40,1945,25.7,2
132,40,1977,21.25,3
133,40,1998,11.92,2
134,40,2165,9.6,2
135,41,1944,5.37,1
136,41,1932,9.09,3
137,42,1398,5.72,3
138,42,1639,25.82,1
139,42,1714,6.33,3
140,42,2379,22.78,2
141,43,1819,28.57,3
142,43,1463,11.25,2
143,43,1727,11.9,1
144,43,2335,17.27,1
145,44,1960,28.34,2
146,44,2178,27.73,3
147,44,2297,26.98,1
148,45,1612,10.4,1
149,45,1647,13.95,3
150,45,1502,28.71,3
151,45,1727,11.9,2
152,45,2386,29.7,2
153,46,1451,6.59,3
154,46,1717,18.14,1
155,46,1758,5.59,1
156,46,1930,7.46,2
157,46,2188,24.99,2
158,47,1934,16.67,3
159,48,2164,15.03,1
160,49,2236,19.17,1
161,49,2376,12.52,2
