id,order_id,amount,method,status,paid_at
1,906,0.0,online,pending,2025-12-09 04:47:06.450030+00:00
2,907,0.0,card,pending,2025-12-09 04:47:06.545710+00:00
3,908,0.0,online,success,2025-12-09 04:47:06.591603+00:00
4,909,0.0,card,success,2025-12-09 04:47:06.645410+00:00
5,910,0.0,card,failed,2025-12-09 04:47:06.655530+00:00
6,911,0.0,online,failed,2025-12-09 04:47:06.666456+00:00
7,912,0.0,online,pending,2025-12-09 04:47:06.681780+00:00
8,913,0.0,card,success,2025-12-09 04:47:06.695172+00:00
9,914,0.0,online,success,2025-12-09 04:47:06.707799+00:00
10,915,0.0,card,success,2025-12-09 04:47:06.746471+00:00
11,916,0.0,cash,pending,2025-12-09 04:47:06.755254+00:00
12,917,0.0,online,success,2025-12-09 04:47:06.763689+00:00
13,918,0.0,cash,pending,2025-12-09 04:47:06.771630+00:00
14,919,0.0,card,pending,2025-12-09 04:47:06.781821+00:00
15,920,0.0,online,success,2025-12-09 04:47:06.807101+00:00
16,921,0.0,cash,success,2025-12-09 04:47:06.852504+00:00
17,922,0.0,card,failed,2025-12-09 04:47:06.885380+00:00
18,923,0.0,online,pending,2025-12-09 04:47:06.918665+00:00
19,924,0.0,online,failed,2025-12-09 04:47:06.935907+00:00
20,925,0.0,card,pending,2025-12-09 04:47:06.961793+00:00
21,926,0.0,cash,success,2025-12-09 04:47:06.971554+00:00
22,927,0.0,cash,pending,2025-12-09 04:47:07.006727+00:00
23,928,0.0,online,pending,2025-12-09 04:47:07.054125+00:00
24,929,0.0,online,success,2025-12-09 04:47:07.066493+00:00
25,930,0.0,online,success,2025-12-09 04:47:07.096167+00:00
26,931,0.0,online,success,2025-12-09 04:47:07.107504+00:00
27,932,0.0,cash,pending,2025-12-09 04:47:07.123376+00:00
28,933,0.0,card,pending,2025-12-09 04:47:07.133775+00:00
29,934,0.0,online,pending,2025-12-09 04:47:07.144245+00:00
30,935,0.0,card,pending,2025-12-09 04:47:07.176867+00:00
31,936,0.0,cash,success,2025-12-09 04:47:07.202651+00:00
32,937,0.0,card,success,2025-12-09 04:47:07.240939+00:00
33,938,0.0,cash,pending,2025-12-09 04:47:07.273506+00:00
34,939,0.0,cash,failed,2025-12-09 04:47:07.283259+00:00
35,940,0.0,cash,success,2025-12-09 04:47:07.303954+00:00
36,941,0.0,cash,success,2025-12-09 04:47:07.315102+00:00
37,942,0.0,cash,failed,2025-12-09 04:47:07.340926+00:00
38,943,0.0,card,pending,2025-12-09 04:47:07.352737+00:00
39,944,0.0,online,success,2025-12-09 04:47:07.384688+00:00
40,945,0.0,cash,success,2025-12-09 04:47:07.394974+00:00
41,946,0.0,card,pending,2025-12-09 04:47:07.408189+00:00
42,947,0.0,cash,success,2025-12-09 04:47:07.447040+00:00
43,948,0.0,card,success,2025-12-09 04:47:07.477268+00:00
44,949,0.0,card,failed,2025-12-09 04:47:07.509764+00:00
45,950,0.0,cash,pending,2025-12-09 04:47:07.538774+00:00
46,951,0.0,online,success,2025-12-09 04:47:07.547732+00:00
47,952,0.0,card,success,2025-12-09 04:47:07.562527+00:00
48,953,0.0,card,success,2025-12-09 04:47:07.597330+00:00
49,954,0.0,cash,success,2025-12-09 04:47:07.607468+00:00
50,955,0.0,card,pending,2025-12-09 04:47:07.617098+00:00
51,956,0.0,cash,success,2025-12-09 04:47:07.629866+00:00
52,957,0.0,cash,success,2025-12-09 04:47:07.672060+00:00
53,958,0.0,cash,success,2025-12-09 04:47:07.717801+00:00
54,959,0.0,card,pending,2025-12-09 04:47:07.729917+00:00
55,960,0.0,cash,success,2025-12-09 04:47:07.777546+00:00
56,961,0.0,cash,pending,2025-12-09 04:47:07.810976+00:00
57,962,0.0,cash,pending,2025-12-09 04:47:07.827561+00:00
58,963,0.0,online,pending,2025-12-09 04:47:07.839100+00:00
59,964,0.0,cash,pending,2025-12-09 04:47:07.877083+00:00
60,965,0.0,cash,success,2025-12-09 04:47:07.917162+00:00
61,966,0.0,cash,success,2025-12-09 04:47:07.956370+00:00
62,967,0.0,online,success,2025-12-09 04:47:07.985124+00:00
63,968,0.0,card,success,2025-12-09 04:47:08.001211+00:00
64,969,0.0,cash,failed,2025-12-09 04:47:08.044639+00:00
65,970,0.0,card,success,2025-12-09 04:47:08.077068+00:00
66,971,0.0,online,success,2025-12-09 04:47:08.109843+00:00
67,972,0.0,cash,failed,2025-12-09 04:47:08.157042+00:00
68,973,0.0,online,failed,2025-12-09 04:47:08.192896+00:00
69,974,0.0,online,pending,2025-12-09 04:47:08.241820+00:00
70,975,0.0,card,success,2025-12-09 04:47:08.274831+00:00
71,976,0.0,cash,success,2025-12-09 04:47:08.312727+00:00
72,977,0.0,online,failed,2025-12-09 04:47:08.352140+00:00
73,978,0.0,online,failed,2025-12-09 04:47:08.390781+00:00
74,979,0.0,cash,failed,2025-12-09 04:47:08.438871+00:00
75,980,0.0,cash,pending,2025-12-09 04:47:08.482551+00:00
76,981,0.0,card,failed,2025-12-09 04:47:08.496533+00:00
77,982,0.0,card,success,2025-12-09 04:47:08.540711+00:00
78,983,0.0,cash,success,2025-12-09 04:47:08.581760+00:00
79,984,0.0,online,failed,2025-12-09 04:47:08.592621+00:00
80,985,0.0,cash,failed,2025-12-09 04:47:08.619728+00:00
81,986,0.0,online,pending,2025-12-09 04:47:08.656239+00:00
82,987,0.0,cash,failed,2025-12-09 04:47:08.691364+00:00
83,988,0.0,online,success,2025-12-09 04:47:08.732781+00:00
84,989,0.0,online,failed,2025-12-09 04:47:08.745936+00:00
85,990,0.0,online,failed,2025-12-09 04:47:08.792769+00:00
86,991,0.0,online,pending,2025-12-09 04:47:08.801723+00:00
87,992,0.0,card,failed,2025-12-09 04:47:08.811987+00:00
88,993,0.0,cash,failed,2025-12-09 04:47:08.823113+00:00
89,994,0.0,online,failed,2025-12-09 04:47:08.834701+00:00
90,995,0.0,cash,pending,2025-12-09 04:47:08.844726+00:00
91,996,0.0,cash,failed,2025-12-09 04:47:08.881860+00:00
92,997,0.0,card,success,2025-12-09 04:47:08.897921+00:00
93,998,0.0,online,pending,2025-12-09 04:47:08.941829+00:00
94,999,0.0,cash,pending,2025-12-09 04:47:08.951846+00:00
95,1000,0.0,card,pending,2025-12-09 04:47:08.989679+00:00
96,1001,0.0,card,pending,2025-12-09 04:47:09.004955+00:00
97,1002,0.0,card,failed,2025-12-09 04:47:09.018253+00:00
98,1003,0.0,card,failed,2025-12-09 04:47:09.051973+00:00
99,1004,0.0,card,pending,2025-12-09 04:47:09.064219+00:00
100,1005,0.0,online,failed,2025-12-09 04:47:09.074575+00:00
101,1006,0.0,online,failed,2025-12-09 04:47:09.086870+00:00
102,1007,0.0,card,success,2025-12-09 04:47:09.104793+00:00
103,1008,0.0,online,failed,2025-12-09 04:47:09.148060+00:00
104,1009,0.0,card,success,2025-12-09 04:47:09.163349+00:00
105,1010,0.0,card,success,2025-12-09 04:47:09.179774+00:00
106,1011,0.0,online,pending,2025-12-09 04:47:09.212762+00:00
107,1012,0.0,card,pending,2025-12-09 04:47:09.226929+00:00
108,1013,0.0,cash,success,2025-12-09 04:47:09.237385+00:00
109,1014,0.0,cash,failed,2025-12-09 04:47:09.268820+00:00
110,1015,0.0,card,failed,2025-12-09 04:47:09.282671+00:00
111,1016,0.0,online,failed,2025-12-09 04:47:09.325478+00:00
112,1017,0.0,online,failed,2025-12-09 04:47:09.359398+00:00
113,1018,0.0,cash,pending,2025-12-09 04:47:09.386389+00:00
114,1019,0.0,cash,pending,2025-12-09 04:47:09.422124+00:00
115,1020,0.0,card,failed,2025-12-09 04:47:09.433569+00:00
116,1021,0.0,cash,pending,2025-12-09 04:47:09.446172+00:00
117,1022,0.0,card,pending,2025-12-09 04:47:09.455678+00:00
118,1023,0.0,online,success,2025-12-09 04:47:09.467917+00:00
119,1024,0.0,card,pending,2025-12-09 04:47:09.485270+00:00
120,1025,0.0,cash,success,2025-12-09 04:47:09.519986+00:00
121,1026,0.0,cash,success,2025-12-09 04:47:09.555275+00:00
122,1027,0.0,online,success,2025-12-09 04:47:09.563616+00:00
123,1028,0.0,online,failed,2025-12-09 04:47:09.576162+00:00
124,1029,0.0,online,pending,2025-12-09 04:47:09.610294+00:00
125,1030,0.0,online,success,2025-12-09 04:47:09.639939+00:00
126,1031,0.0,card,failed,2025-12-09 04:47:09.651834+00:00
127,1032,0.0,card,success,2025-12-09 04:47:09.695081+00:00
128,1033,0.0,online,success,2025-12-09 04:47:09.744869+00:00
129,1034,0.0,card,pending,2025-12-09 04:47:09.779439+00:00
130,1035,0.0,cash,failed,2025-12-09 04:47:09.790931+00:00
131,1036,0.0,cash,pending,2025-12-09 04:47:09.802343+00:00
132,1037,0.0,card,success,2025-12-09 04:47:09.818653+00:00
133,1038,0.0,online,failed,2025-12-09 04:47:09.848297+00:00
134,1039,0.0,online,success,2025-12-09 04:47:09.856998+00:00
135,1040,0.0,online,pending,2025-12-09 04:47:09.865825+00:00
136,1041,0.0,online,failed,2025-12-09 04:47:09.877610+00:00
137,1042,0.0,cash,success,2025-12-09 04:47:09.909757+00:00
138,1043,0.0,card,success,2025-12-09 04:47:09.936304+00:00
139,1044,0.0,online,pending,2025-12-09 04:47:09.946895+00:00
140,1045,0.0,card,failed,2025-12-09 04:47:09.957296+00:00
141,1046,0.0,card,pending,2025-12-09 04:47:10.003661+00:00
142,1047,0.0,cash,pending,2025-12-09 04:47:10.041167+00:00
143,1048,0.0,cash,success,2025-12-09 04:47:10.086449+00:00
144,1049,0.0,online,failed,2025-12-09 04:47:10.131618+00:00
145,1050,0.0,card,success,2025-12-09 04:47:10.147092+00:00
146,1051,0.0,cash,pending,2025-12-09 04:47:10.182204+00:00
147,1052,0.0,cash,success,2025-12-09 04:47:10.216482+00:00
148,1053,0.0,card,failed,2025-12-09 04:47:10.227779+00:00
149,1054,0.0,cash,success,2025-12-09 04:47:10.257200+00:00
150,1055,0.0,cash,pending,2025-12-09 04:47:10.293135+00:00
151,1056,0.0,online,pending,2025-12-09 04:47:10.334740+00:00
152,1057,0.0,card,failed,2025-12-09 04:47:10.347923+00:00
153,1058,0.0,online,pending,2025-12-09 04:47:10.361379+00:00
154,1059,0.0,card,pending,2025-12-09 04:47:10.390328+00:00
155,1060,0.0,cash,failed,2025-12-09 04:47:10.421836+00:00
156,1061,0.0,online,success,2025-12-09 04:47:10.431633+00:00
157,1062,0.0,card,failed,2025-12-09 04:47:10.443473+00:00
158,1063,0.0,card,failed,2025-12-09 04:47:10.474813+00:00
159,1064,0.0,online,success,2025-12-09 04:47:10.485672+00:00
160,1065,0.0,cash,failed,2025-12-09 04:47:10.501859+00:00
161,1066,0.0,cash,success,2025-12-09 04:47:10.513428+00:00
162,1067,0.0,cash,failed,2025-12-09 04:47:10.543559+00:00
163,1068,0.0,online,failed,2025-12-09 04:47:10.555648+00:00
164,1069,0.0,online,success,2025-12-09 04:47:10.604063+00:00
165,1070,0.0,card,failed,2025-12-09 04:47:10.639288+00:00
166,1071,0.0,cash,success,2025-12-09 04:47:10.649555+00:00
167,1072,0.0,cash,failed,2025-12-09 04:47:10.664208+00:00
168,1073,0.0,online,failed,2025-12-09 04:47:10.703452+00:00
169,1074,0.0,online,failed,2025-12-09 04:47:10.736961+00:00
170,1075,0.0,card,failed,2025-12-09 04:47:10.747440+00:00
171,1076,0.0,card,failed,2025-12-09 04:47:10.757944+00:00
172,1077,0.0,online,success,2025-12-09 04:47:10.766424+00:00
173,1078,0.0,card,failed,2025-12-09 04:47:10.779982+00:00
174,1079,0.0,cash,pending,2025-12-09 04:47:10.813178+00:00
175,1080,0.0,card,pending,2025-12-09 04:47:10.823569+00:00
176,1081,0.0,cash,pending,2025-12-09 04:47:10.833027+00:00
177,1082,0.0,cash,failed,2025-12-09 04:47:10.844295+00:00
178,1083,0.0,card,failed,2025-12-09 04:47:10.856253+00:00
179,1084,0.0,online,failed,2025-12-09 04:47:10.888621+00:00
180,1085,0.0,online,success,2025-12-09 04:47:10.920860+00:00
