id,user_id,restaurant_id,table_id,reservation_time,guest_count,status
1,77,21,26,2026-01-06T16:20:14.425689+00:00,5,completed
2,63,22,32,2025-12-24T07:24:17.805887+00:00,4,cancelled
3,34,22,40,2026-01-02T09:01:52.020260+00:00,5,confirmed
4,39,25,63,2026-01-04T17:08:20.596042+00:00,6,confirmed
5,31,28,93,2025-12-09T11:44:45.743912+00:00,6,confirmed
6,82,29,103,2025-12-11T04:21:43.177627+00:00,3,completed
7,38,21,23,2025-12-27T20:10:06.845122+00:00,1,pending
8,33,22,40,2025-12-13T03:26:43.952683+00:00,6,confirmed
9,65,21,29,2026-01-04T00:38:31.248423+00:00,8,pending
10,88,25,64,2025-12-24T20:35:06.033793+00:00,6,confirmed
11,12,30,116,2025-12-26T03:25:08.285815+00:00,2,pending
12,34,22,39,2025-12-18T05:34:59.098580+00:00,4,completed
13,98,24,54,2025-12-12T20:49:04.918230+00:00,4,cancelled
14,46,25,62,2025-12-17T17:45:06.898733+00:00,8,cancelled
15,12,30,118,2025-12-13T15:45:46.152573+00:00,2,confirmed
16,13,23,41,2025-12-09T17:44:35.941286+00:00,4,pending
17,100,24,51,2026-01-02T21:07:48.913270+00:00,7,completed
18,72,27,85,2025-12-29T08:01:54.393374+00:00,8,completed
19,8,21,26,2025-12-14T14:04:35.798623+00:00,7,cancelled
20,19,26,73,2025-12-24T20:25:27.222645+00:00,7,confirmed
21,46,25,66,2025-12-10T16:42:36.167215+00:00,2,cancelled
22,70,22,34,2026-01-05T11:05:29.925603+00:00,8,cancelled
23,39,25,64,2025-12-26T18:05:25.296655+00:00,8,pending
24,87,22,35,2025-12-26T14:29:57.991043+00:00,2,cancelled
25,95,27,89,2026-01-02T18:29:45.498446+00:00,2,completed
26,54,24,55,2025-12-17T15:06:20.678347+00:00,5,completed
27,37,21,26,2025-12-14T21:52:05.946603+00:00,6,confirmed
28,8,21,30,2025-12-27T13:55:01.921394+00:00,8,pending
29,94,26,80,2026-01-04T19:19:30.364649+00:00,3,confirmed
30,20,25,67,2026-01-04T04:40:48.505564+00:00,5,pending
31,58,25,67,2025-12-10T00:06:09.164202+00:00,8,completed
32,88,25,67,2025-12-09T08:36:50.685849+00:00,4,pending
33,87,22,34,2026-01-04T10:28:53.810498+00:00,5,cancelled
34,10,22,38,2025-12-20T22:24:04.767596+00:00,7,cancelled
35,50,28,99,2025-12-24T06:58:53.175246+00:00,5,confirmed
36,88,25,65,2025-12-23T20:05:25.077245+00:00,7,completed
37,91,24,54,2025-12-25T13:22:53.004509+00:00,2,pending
38,46,25,63,2026-01-04T08:42:53.330961+00:00,7,cancelled
39,107,24,54,2025-12-31T04:22:14.868362+00:00,3,pending
40,35,24,53,2025-12-14T11:51:51.404445+00:00,6,confirmed
41,89,30,119,2025-12-16T21:24:51.844457+00:00,4,cancelled
42,50,28,97,2025-12-23T03:23:25.570458+00:00,4,confirmed
43,78,22,37,2026-01-04T01:05:08.327722+00:00,7,completed
44,93,30,116,2026-01-01T14:11:33.432171+00:00,8,confirmed
45,105,28,95,2025-12-16T02:44:54.090485+00:00,8,pending
46,12,30,113,2025-12-26T11:41:43.527842+00:00,8,completed
47,18,29,105,2025-12-20T11:41:24.171261+00:00,7,cancelled
48,107,24,56,2025-12-28T08:27:59.688429+00:00,1,cancelled
49,83,27,85,2025-12-31T13:10:01.921731+00:00,4,confirmed
50,10,22,38,2025-12-25T17:26:23.351633+00:00,7,cancelled
51,88,25,65,2025-12-11T00:53:02.944181+00:00,3,cancelled
52,19,26,72,2026-01-05T16:44:23.435653+00:00,3,pending
53,87,22,36,2026-01-03T05:01:45.638354+00:00,5,completed
54,27,30,111,2025-12-26T23:12:17.577323+00:00,5,completed
55,55,30,111,2025-12-19T12:15:52.649148+00:00,4,completed
56,92,27,83,2025-12-23T05:39:13.230860+00:00,8,confirmed
57,12,30,114,2025-12-16T22:27:34.734393+00:00,5,completed
58,51,28,99,2025-12-11T07:02:20.475425+00:00,7,confirmed
59,100,24,58,2025-12-25T09:13:13.799190+00:00,5,pending
60,52,30,112,2025-12-26T19:24:08.053318+00:00,7,completed
61,23,28,99,2025-12-18T22:10:31.157083+00:00,4,confirmed
62,56,26,72,2025-12-18T15:02:15.941393+00:00,2,cancelled
63,83,27,87,2025-12-18T12:25:37.280153+00:00,5,pending
64,21,30,111,2025-12-19T18:25:00.385084+00:00,1,pending
65,19,26,73,2025-12-31T10:53:02.506688+00:00,3,completed
66,90,24,53,2025-12-30T04:27:33.677407+00:00,5,completed
67,37,21,29,2025-12-13T07:59:03.857327+00:00,5,cancelled
68,43,24,59,2026-01-04T20:57:23.703440+00:00,6,cancelled
69,97,28,92,2025-12-24T05:14:35.518419+00:00,5,confirmed
70,77,21,30,2026-01-05T16:08:39.185513+00:00,1,completed
71,42,21,30,2026-01-07T02:23:40.712497+00:00,7,confirmed
72,34,22,33,2025-12-30T02:03:27.656811+00:00,5,pending
73,94,26,73,2026-01-02T20:14:20.083585+00:00,7,confirmed
74,71,22,37,2025-12-11T22:21:18.337673+00:00,8,cancelled
75,36,27,81,2025-12-22T10:42:25.076849+00:00,7,pending
76,69,26,80,2025-12-15T08:34:25.097591+00:00,4,cancelled
77,73,29,106,2025-12-30T18:48:26.703408+00:00,7,completed
78,84,25,64,2025-12-13T12:43:40.004184+00:00,3,pending
79,103,21,30,2025-12-28T06:01:25.256211+00:00,8,completed
80,60,24,56,2025-12-29T11:22:57.531970+00:00,7,confirmed
81,36,27,83,2026-01-04T07:30:26.110789+00:00,3,confirmed
82,76,30,112,2026-01-03T23:15:45.761342+00:00,1,confirmed
83,17,26,72,2025-12-19T18:40:04.618476+00:00,6,pending
84,52,30,114,2026-01-02T02:34:11.709358+00:00,1,cancelled
85,29,25,64,2025-12-11T05:12:13.952863+00:00,8,cancelled
86,73,29,109,2025-12-12T16:21:11.203988+00:00,6,completed
87,9,30,113,2025-12-18T10:58:21.322617+00:00,8,pending
88,60,24,59,2025-12-20T08:12:53.609779+00:00,4,completed
89,106,22,35,2025-12-18T21:10:33.437087+00:00,4,confirmed
90,32,21,25,2026-01-04T18:03:09.178167+00:00,1,confirmed
91,23,28,97,2025-12-23T01:56:46.624132+00:00,7,pending
92,46,25,61,2025-12-20T20:16:33.622391+00:00,5,confirmed
93,37,21,26,2025-12-19T01:19:42.568712+00:00,6,completed
94,101,25,68,2025-12-17T10:32:13.397527+00:00,3,completed
95,33,22,39,2025-12-21T04:42:34.113317+00:00,4,pending
96,106,22,36,2025-12-10T09:58:05.459766+00:00,3,confirmed
97,50,28,96,2026-01-05T09:40:25.246601+00:00,6,completed
98,8,21,26,2025-12-24T22:34:21.987667+00:00,7,confirmed
99,99,30,111,2025-12-18T07:01:19.732428+00:00,8,confirmed
100,69,26,72,2025-12-09T23:18:23.894336+00:00,6,completed
101,55,30,120,2026-01-02T15:30:03.162481+00:00,7,pending
102,77,21,21,2025-12-17T08:54:02.042858+00:00,6,cancelled
103,53,28,99,2026-01-04T03:41:26.167529+00:00,6,pending
104,74,21,24,2025-12-10T08:18:35.466692+00:00,4,pending
105,62,28,92,2025-12-14T14:36:40.370115+00:00,1,completed
106,30,27,82,2025-12-30T18:35:29.841921+00:00,7,confirmed
107,21,30,118,2025-12-14T23:21:07.925846+00:00,3,pending
108,58,25,62,2025-12-25T15:39:22.603990+00:00,7,completed
109,8,21,23,2025-12-26T10:38:57.159832+00:00,5,cancelled
110,105,28,94,2025-12-30T08:09:11.236778+00:00,5,pending
111,86,27,82,2026-01-06T16:28:37.881098+00:00,7,cancelled
112,62,28,98,2025-12-10T15:08:34.901866+00:00,8,confirmed
113,82,29,108,2025-12-12T13:20:35.643342+00:00,6,cancelled
114,46,25,70,2025-12-31T03:35:17.839760+00:00,3,completed
115,25,22,35,2025-12-16T19:14:48.883076+00:00,8,completed
116,10,22,31,2026-01-01T12:42:46.141720+00:00,7,completed
117,105,28,99,2025-12-12T02:26:25.616900+00:00,7,pending
118,63,22,38,2026-01-04T02:12:54.026434+00:00,2,cancelled
119,28,28,91,2025-12-15T08:26:22.760369+00:00,5,confirmed
120,18,29,109,2026-01-06T20:15:58.371783+00:00,5,confirmed
121,61,28,94,2026-01-06T13:41:01.671432+00:00,6,pending
122,76,30,111,2025-12-25T03:32:17.873259+00:00,3,confirmed
