id,restaurant_id,name,capacity
21,21,Table #1,5
22,21,Table #2,5
23,21,Table #3,5
24,21,Table #4,5
25,21,Table #5,5
26,21,Table #6,5
27,21,Table #7,5
28,21,Table #8,5
29,21,Table #9,5
30,21,Table #10,5
31,22,Table #1,5
32,22,Table #2,5
33,22,Table #3,5
34,22,Table #4,5
35,22,Table #5,5
36,22,Table #6,5
37,22,Table #7,5
38,22,Table #8,5
39,22,Table #9,5
40,22,Table #10,5
41,23,Table #1,5
42,23,Table #2,5
43,23,Table #3,5
44,23,Table #4,5
45,23,Table #5,5
46,23,Table #6,5
47,23,Table #7,5
48,23,Table #8,5
49,23,Table #9,5
50,23,Table #10,5
51,24,Table #1,5
52,24,Table #2,5
53,24,Table #3,5
54,24,Table #4,5
55,24,Table #5,5
56,24,Table #6,5
57,24,Table #7,5
58,24,Table #8,5
59,24,Table #9,5
60,24,Table #10,5
61,25,Table #1,5
62,25,Table #2,5
63,25,Table #3,5
64,25,Table #4,5
65,25,Table #5,5
66,25,Table #6,5
67,25,Table #7,5
68,25,Table #8,5
69,25,Table #9,5
70,25,Table #10,5
71,26,Table #1,5
72,26,Table #2,5
73,26,Table #3,5
74,26,Table #4,5
75,26,Table #5,5
76,26,Table #6,5
77,26,Table #7,5
78,26,Table #8,5
79,26,Table #9,5
80,26,Table #10,5
81,27,Table #1,5
82,27,Table #2,5
83,27,Table #3,5
84,27,Table #4,5
85,27,Table #5,5
86,27,Table #6,5
87,27,Table #7,5
88,27,Table #8,5
89,27,Table #9,5
90,27,Table #10,5
91,28,Table #1,5
92,28,Table #2,5
93,28,Table #3,5
94,28,Table #4,5
95,28,Table #5,5
96,28,Table #6,5
97,28,Table #7,5
98,28,Table #8,5
99,28,Table #9,5
100,28,Table #10,5
101,29,Table #1,5
102,29,Table #2,5
103,29,Table #3,5
104,29,Table #4,5
105,29,Table #5,5
106,29,Table #6,5
107,29,Table #7,5
108,29,Table #8,5
109,29,Table #9,5
110,29,Table #10,5
111,30,Table #1,5
112,30,Table #2,5
113,30,Table #3,5
114,30,Table #4,5
115,30,Table #5,5
116,30,Table #6,5
117,30,Table #7,5
118,30,Table #8,5
119,30,Table #9,5
120,30,Table #10,5
