antecedents,consequents,support,confidence,lift
{np.str_('Salad')},{np.str_('IceCream')},0.107,0.21,1.26
{np.str_('Ketchup')},{np.str_('Sandwich')},0.012,0.12,1.17
{np.str_('Fries')},{np.str_('Pasta')},0.059,0.15,1.46
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('IceCream')},0.187,0.77,0.92
{np.str_('Pizza')},{np.str_('Fries')},0.235,0.85,1.43
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('IceCream')},0.25,0.39,1.0
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Coke')},0.215,0.68,1.34
{np.str_('Pizza')},{np.str_('Pasta')},0.1,0.36,1.31
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Pasta')},0.234,0.5,1.17
{np.str_('IceCream')},{np.str_('Sandwich')},0.185,0.53,0.94
{np.str_('IceCream')},{np.str_('Ketchup')},0.263,0.74,0.93
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Pasta')},0.01,0.38,1.01
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.073,0.55,1.08
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.021,0.59,1.15
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Coke')},0.14,0.54,1.21
{np.str_('IceCream')},{np.str_('Burger')},0.054,0.51,1.29
{np.str_('Burger')},{np.str_('Soup')},0.21,0.41,1.46
{np.str_('Burger')},{np.str_('Soup')},0.16,0.31,1.5
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Soup')},0.27,0.81,1.35
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.283,0.88,1.0
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Burger')},0.153,0.24,1.06
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Sandwich')},0.081,0.88,1.08
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Coke')},0.22,0.32,0.82
