antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'BBQ Chicken Pizza'}),frozenset({'Aloo Paratha'}),0.10324729392173189,0.13322231473771856,0.014154870940882597,0.13709677419354838,1.0290826612903226,1.0,0.0004000274542238953,1.004490027780588,0.031514555682997485,0.06367041198501873,0.004469957547023638,0.1216733870967742
frozenset({'Aloo Paratha'}),frozenset({'BBQ Chicken Pizza'}),0.13322231473771856,0.10324729392173189,0.014154870940882597,0.10625,1.0290826612903226,1.0,0.0004000274542238953,1.0033596711365236,0.032604396225348976,0.06367041198501873,0.0033484215413184756,0.1216733870967742
frozenset({'BBQ Lamb Chops'}),frozenset({'Aloo Paratha'}),0.16319733555370525,0.13322231473771856,0.041631973355537054,0.25510204081632654,1.914859693877551,1.0,0.019890446554044264,1.1636193582973093,0.5709452736318408,0.16339869281045752,0.1406124409417946,0.28380102040816324
frozenset({'Aloo Paratha'}),frozenset({'BBQ Lamb Chops'}),0.13322231473771856,0.16319733555370525,0.041631973355537054,0.3125,1.914859693877551,1.0,0.019890446554044264,1.2171675119218832,0.5512007684918347,0.16339869281045752,0.17842039800995027,0.28380102040816324
frozenset({'BBQ Platter Mix'}),frozenset({'Aloo Paratha'}),0.12489592006661115,0.13322231473771856,0.02331390507910075,0.18666666666666668,1.401166666666667,1.0,0.006674981506529738,1.0657102687651,0.3271714013864347,0.09929078014184398,0.06165866154338778,0.18083333333333335
frozenset({'Aloo Paratha'}),frozenset({'BBQ Platter Mix'}),0.13322231473771856,0.12489592006661115,0.02331390507910075,0.17500000000000002,1.401166666666667,1.0,0.006674981506529738,1.0607322181010774,0.33031425826814875,0.09929078014184398,0.05725499524262609,0.18083333333333335
frozenset({'Barbeque Chicken Tikka'}),frozenset({'Aloo Paratha'}),0.1115736885928393,0.13322231473771856,0.019150707743547043,0.17164179104477612,1.2883861940298509,1.0,0.004286602685383606,1.0463802686950063,0.25194572348315064,0.08487084870848709,0.04432448707471289,0.15769589552238805
frozenset({'Aloo Paratha'}),frozenset({'Barbeque Chicken Tikka'}),0.13322231473771856,0.1115736885928393,0.019150707743547043,0.14375,1.2883861940298507,1.0,0.004286602685383606,1.0375781739061731,0.2582383160005012,0.08487084870848709,0.0362171977507029,0.15769589552238805
frozenset({'Beef Sausage Breakfast'}),frozenset({'Aloo Paratha'}),0.10074937552039967,0.13322231473771856,0.02164862614487927,0.21487603305785125,1.612913223140496,1.0,0.008226561129671987,1.1040010517551164,0.42257834757834767,0.1019607843137255,0.09420376148172847,0.18868801652892564
frozenset({'Aloo Paratha'}),frozenset({'Beef Sausage Breakfast'}),0.13322231473771856,0.10074937552039967,0.02164862614487927,0.16250000000000003,1.6129132231404961,1.0,0.008226561129671987,1.0737320889308661,0.4384098130495826,0.1019607843137255,0.06866898148148151,0.18868801652892564
